,Datetime,Tweet Id,Text,Username
0,2022-03-09 23:57:16+00:00,1501708732442746880,"@priyankagandhi मेडम वो EVM वाले ट्वीट कितने बजे से करना है ?
या इस बार Toolkit में कुछ और है ?
#ElectionResults 
#UPElectionResult2022
#UttarakhandElections2022 
#ManipurElections2022 
#GoaElections2022 
#PunjabElections2022",nj_nishant
1,2022-03-09 23:49:14+00:00,1501706707227254786,"बहुत लोगों को कल रात नींद नहीं आई होगी!! फिर भी गुड मॉर्निंग😀

#Elections2022 #UPElectionResult2022 #PunjabElections #ManipurElections2022 #GoaElections2022 #UttarakhandElections",AroraGonika
2,2022-03-09 23:35:19+00:00,1501703205666709507,"Today bjp is losing election in 5 states.
#GoaElections2022
#ManipurElections2022
#UttarakhandElections2022
#PunjabElections2022 
#UttarakhandElections2022 
#ElectionResults",saifuddin_06
3,2022-03-09 23:11:09+00:00,1501697127252054025,"I trust Indian people, they will make India and their respective states proud today. They have already voted for better India and their bright future.
#UPElectionResult2022 #PunjabElections2022 #GoaElections2022 #ManipurElections2022",RWFlabbergasted
4,2022-03-09 20:22:51+00:00,1501654770477834241,"#UttarPradeshElections 
#UttarakhandElections2022 
#PunjabElections2022 
#GoaElections2022 
#ManipurElections2022 
While following these elections I saw common people coming and participating in large numbers. 
I hope all these efforts give us fruitful results.",NailahIstifa
5,2022-03-09 20:11:53+00:00,1501652012089298945,"सुना है तेरी महफ़िल में रतजगा है 😊

#punjabइलेक्शन2022
#GoaElections2022 #UttarakhandElections2022 #ManipurElections2022",vikashaap
6,2022-03-09 19:36:08+00:00,1501643013155528707,"Tomorrow is the day 
To determine the direction of  steering of the political wheel 
#UttarPradeshElections2022
#PunjabElections2022 
#GoaElections2022 
#UttarakhandElections2022
#ManipurElections2022",RoflSuvendu
7,2022-03-09 19:31:31+00:00,1501641853350735872,"#ElectionResults 
#UPElectionResult2022 
#PunjabElections2022
#ManipurElections2022 https://t.co/ZG5H1xH2va",DamorPinak
8,2022-03-09 19:05:26+00:00,1501635287566356482,"Aaj hoga Chutiyapa jo har bar hota he jeet gaye to kya kehne or haar gaye to EVM fault 🤣.
#UPElection2022
#PunjabElections 
#GoaElections2022 
#UttarakhandElections2022 
#ManipurElections2022",iamayaz1201
9,2022-03-09 18:29:02+00:00,1501626126178738176,"जनादेश की चोरी का खेल सिर्फ यूपी में नहीं चल रहा है,

उत्तराखंड, गोवा, मणिपुर, पंजाब में कांग्रेस व आप को भी सजग रहना चाहिए!

#EVM_चोर_BJP
#GoaElections2022 #PunjabElections2022 #ManipurElections2022 #UttarakhandElections2022",AgarwalJiSpeaks
10,2022-03-09 18:10:52+00:00,1501621554748137475,"@yadavakhilesh Reason why these people lose every election &amp; then cry over EVM !

#UttarakhandElections2022
#UttarPradeshElections
#PunjabElections2022
#GoaElections2022
#ManipurElections2022
 https://t.co/8vevg2ECPG",PK007_IND
11,2022-03-09 18:06:03+00:00,1501620343902851072,"सुना है तेरी महफ़िल में रतजगा है 😊

#GoaElections2022 #UttarakhandElections2022 #ManipurElections2022",RheemaParashar
12,2022-03-09 17:57:04+00:00,1501618081847988224,"#uttarpradeshelection2022
#PunjabElections2022
#UttarakhandElections2022
#GoaElections2022
#ManipurElections2022

एग्जिट पोल के नतीजों से ये साफ हो गया है कि सिर्फ पंजाब में लोकतंत्र की जीत होगी बाकी चारों राज्य में ईवीएम हैक होने वाली है।",Truth_Alwayss
13,2022-03-09 17:52:42+00:00,1501616986002194432,"Overseeing the preparations at Thambal Shanglen regarding tomorrow's declaration of Manipur Assembly Elections.

#ManipurElections2022 #ManipurElectionResults https://t.co/fwvdnIYW1h",AShardaDevi
14,2022-03-09 17:46:56+00:00,1501615531535011842,Hours before counting starts for #ManipurElections2022 Chief Minister @NBirenSingh speaks to me exclusively - https://t.co/Dtr4LkUcWl,RatnadipC
15,2022-03-09 17:45:53+00:00,1501615270607011847,"My Personal Prediction about #ManipurElections2022 
BJP are winning with Full majority.
#ElectionResults #ManipurElection2022",iamANKUR_96
16,2022-03-09 17:44:28+00:00,1501614911142588419,"#ManipurElections2022 All Arrangements for counting in place
https://t.co/ix0seFIRpr",FrontierManipur
17,2022-03-09 17:41:14+00:00,1501614097330286592,"Watch Y Media Political Sensex- 5 States Election, Results LIVE TONIGHT only on Channel Y at 7.30 p.m. 
#ymedia #PunjabElection2022 #UttarPradeshElections2022 #ManipurElections2022 #UttarakhandElections2022 #GoaElections #BJP #AAP #Cong
@YudhvirJaswal https://t.co/7hBHzMpkd2",ymediagroup
